"student_id","name","gender","age","department","year","gpa"
"STU-001","Aung Aung","Male","21","Computer Science","3","3.5"
"STU-002","Su Su","Female","20","IT","2","3.8"
"STU-003","Kyaw Kyaw","Male","22","Engineering","4","3.2"
"STU-004","Hla Hla","Female","21","Business","3","3.9"
"STU-005","Zaw Zaw","Male","23","Computer Science","4","2.9"
"STU-006","Thida","Female","20","IT","2","3.6"
"STU-007","Mg Mg","Male","19","Engineering","1","3.1"
"STU-008","Ko Ko","Male","22","Business","4","3.4"
"STU-009","Mya Mya","Female","21","Computer Science","3","3.7"
"STU-010","Nyein Nyein","Female","20","IT","2","3.3"
"STU-011","Aung Aung","Male","21","Computer Science","3","3.5"
"STU-012","Su Su","Female","20","IT","2","3.8"
"STU-013","Kyaw Kyaw","Male","22","Engineering","4","3.2"
"STU-014","Hla Hla","Female","21","Business","3","3.9"
"STU-015","Zaw Zaw","Male","23","Computer Science","4","2.9"
"STU-016","Thida","Female","20","IT","2","3.6"
"STU-017","Mg Mg","Male","19","Engineering","1","3.1"
"STU-018","Ko Ko","Male","22","Business","4","3.4"
"STU-019","Mya Mya","Female","21","Computer Science","3","3.7"
"STU-020","Nyein Nyein","Female","20","IT","2","3.3"
